t(s),P=100mmHg,P=110mmHg,P=120mmHg,130mmHg,140mmHg,150mmHg,160mmHg,170mmHg,180mmHg
12.5,0.5,0.57152,0.62004,0.69608,0.72009,0.79748,0.86595,0.9116,0.94423
12.6,0.5,0.57117,0.6211,0.69537,0.71935,0.79677,0.86627,0.91169,0.94447
12.7,0.5,0.57082,0.62216,0.69464,0.71862,0.79605,0.86657,0.91177,0.94471
12.8,0.5,0.57046,0.62322,0.69387,0.71791,0.79533,0.86686,0.91185,0.94495
12.9,0.5,0.57009,0.62427,0.69308,0.71721,0.7946,0.86715,0.91192,0.94518
13,0.5,0.56971,0.6253,0.69227,0.71653,0.79386,0.86743,0.91199,0.94541
13.1,0.5,0.56932,0.62633,0.69142,0.71586,0.79311,0.86769,0.91204,0.94563
13.2,0.5,0.56893,0.62734,0.69055,0.71521,0.79237,0.86795,0.9121,0.94586
13.3,0.5,0.56853,0.62833,0.68966,0.71458,0.79162,0.8682,0.91215,0.94608
13.4,0.5,0.56812,0.6293,0.68875,0.71396,0.79086,0.86844,0.91219,0.94629
13.5,0.5,0.5677,0.63026,0.68781,0.71336,0.79011,0.86868,0.91222,0.9465
13.6,0.5,0.56728,0.63119,0.68685,0.71277,0.78936,0.86891,0.91226,0.94671
13.7,0.5,0.56685,0.6321,0.68587,0.7122,0.7886,0.86912,0.91228,0.94692
13.8,0.5,0.56641,0.63299,0.68488,0.71165,0.78785,0.86934,0.9123,0.94712
13.9,0.5,0.56597,0.63384,0.68387,0.71112,0.7871,0.86954,0.91231,0.94733
14,0.5,0.56553,0.63468,0.68284,0.7106,0.78635,0.86974,0.91232,0.94752
14.1,0.5,0.56508,0.63548,0.6818,0.7101,0.78561,0.86992,0.91232,0.94772
14.2,0.5,0.56462,0.63626,0.68075,0.70962,0.78487,0.87011,0.91232,0.94791
14.3,0.5,0.56416,0.63701,0.67969,0.70915,0.78414,0.87028,0.91231,0.9481
14.4,0.5,0.5637,0.63773,0.67863,0.7087,0.78341,0.87045,0.9123,0.94829
14.5,0.5,0.56323,0.63842,0.67755,0.70827,0.78269,0.87061,0.91228,0.94847
14.6,0.5,0.56276,0.63908,0.67648,0.70785,0.78198,0.87076,0.91226,0.94865
14.7,0.5,0.56229,0.63971,0.6754,0.70745,0.78128,0.87091,0.91223,0.94883
14.8,0.5,0.56182,0.64032,0.67432,0.70706,0.78058,0.87105,0.91219,0.949
14.9,0.5,0.56135,0.64089,0.67325,0.70669,0.7799,0.87119,0.91215,0.94918
15,0.5,0.56087,0.64143,0.67218,0.70634,0.77922,0.87131,0.9121,0.94935
15.1,0.5,0.56039,0.64195,0.67111,0.706,0.77856,0.87144,0.91205,0.94951
15.2,0.5,0.55992,0.64244,0.67005,0.70567,0.77791,0.87155,0.91199,0.94968
15.3,0.5,0.55944,0.6429,0.66901,0.70536,0.77726,0.87166,0.91193,0.94984
15.4,0.5,0.55897,0.64333,0.66797,0.70507,0.77663,0.87176,0.91187,0.95
15.5,0.5,0.5585,0.64374,0.66694,0.70478,0.77602,0.87186,0.91179,0.95016
15.6,0.5,0.55802,0.64412,0.66593,0.70451,0.77541,0.87194,0.91172,0.95031
15.7,0.5,0.55756,0.64448,0.66494,0.70426,0.77482,0.87203,0.91163,0.95047
15.8,0.5,0.55709,0.64482,0.66396,0.70401,0.77424,0.8721,0.91155,0.95062
15.9,0.5,0.55663,0.64513,0.663,0.70378,0.77367,0.87217,0.91145,0.95076
16,0.5,0.55617,0.64541,0.66206,0.70357,0.77312,0.87224,0.91136,0.95091
16.1,0.5,0.55571,0.64568,0.66114,0.70336,0.77258,0.87229,0.91125,0.95105
16.2,0.5,0.55526,0.64592,0.66024,0.70317,0.77205,0.87234,0.91115,0.95119
16.3,0.5,0.55482,0.64614,0.65936,0.70298,0.77154,0.87239,0.91104,0.95133
16.4,0.5,0.55437,0.64635,0.6585,0.70281,0.77104,0.87242,0.91092,0.95147
16.5,0.5,0.55394,0.64653,0.65767,0.70265,0.77056,0.87245,0.9108,0.9516
16.6,0.5,0.55351,0.6467,0.65686,0.7025,0.77008,0.87248,0.91067,0.95173
16.7,0.5,0.55309,0.64685,0.65608,0.70236,0.76963,0.87249,0.91054,0.95186
16.8,0.5,0.55267,0.64698,0.65532,0.70223,0.76918,0.8725,0.91041,0.95199
16.9,0.5,0.55226,0.6471,0.65458,0.70212,0.76875,0.8725,0.91027,0.95211
17,0.5,0.55186,0.6472,0.65387,0.70201,0.76834,0.87249,0.91013,0.95224
17.1,0.5,0.55146,0.64729,0.65319,0.70191,0.76794,0.87248,0.90998,0.95236
17.2,0.5,0.55108,0.64736,0.65253,0.70182,0.76755,0.87245,0.90983,0.95248
17.3,0.5,0.5507,0.64742,0.65189,0.70174,0.76717,0.87242,0.90967,0.95259
17.4,0.5,0.55032,0.64747,0.65128,0.70167,0.76681,0.87238,0.90951,0.95271
17.5,0.5,0.54996,0.64751,0.6507,0.70161,0.76646,0.87233,0.90935,0.95282
17.6,0.5,0.5496,0.64753,0.65014,0.70156,0.76612,0.87227,0.90918,0.95293
17.7,0.5,0.54925,0.64754,0.6496,0.70151,0.7658,0.8722,0.90901,0.95304
17.8,0.5,0.54891,0.64754,0.64909,0.70148,0.76549,0.87212,0.90883,0.95314
17.9,0.5,0.54858,0.64752,0.6486,0.70145,0.76519,0.87203,0.90865,0.95325
18,0.5,0.54825,0.6475,0.64813,0.70144,0.76491,0.87193,0.90847,0.95335
18.1,0.5,0.54794,0.64747,0.64768,0.70143,0.76463,0.87181,0.90828,0.95345
18.2,0.5,0.54763,0.64742,0.64726,0.70143,0.76437,0.87169,0.90808,0.95354
18.3,0.5,0.54732,0.64736,0.64686,0.70144,0.76412,0.87155,0.90788,0.95364
18.4,0.5,0.54703,0.6473,0.64648,0.70146,0.76388,0.8714,0.90768,0.95373
18.5,0.5,0.54674,0.64722,0.64612,0.70148,0.76366,0.87123,0.90747,0.95382
18.6,0.5,0.54646,0.64713,0.64578,0.70152,0.76344,0.87105,0.90726,0.95391
18.7,0.5,0.54618,0.64703,0.64546,0.70156,0.76324,0.87085,0.90704,0.954
18.8,0.5,0.54591,0.64692,0.64515,0.70162,0.76304,0.87064,0.90682,0.95408
18.9,0.5,0.54565,0.64679,0.64487,0.70168,0.76286,0.87041,0.90659,0.95416
19,0.5,0.54539,0.64666,0.6446,0.70175,0.76269,0.87016,0.90635,0.95424
19.1,0.5,0.54514,0.64651,0.64435,0.70183,0.76253,0.8699,0.90611,0.95432
19.2,0.5,0.54489,0.64635,0.64411,0.70192,0.76237,0.86961,0.90587,0.9544
19.3,0.5,0.54465,0.64617,0.64389,0.70202,0.76223,0.86931,0.90562,0.95447
19.4,0.5,0.5444,0.64598,0.64368,0.70213,0.7621,0.86898,0.90536,0.95454
19.5,0.5,0.54417,0.64578,0.64349,0.70225,0.76197,0.86864,0.9051,0.95461
19.6,0.5,0.54393,0.64556,0.64331,0.70237,0.76186,0.86827,0.90483,0.95467
19.7,0.5,0.5437,0.64532,0.64314,0.70251,0.76175,0.86788,0.90455,0.95474
19.8,0.5,0.54347,0.64507,0.64299,0.70265,0.76165,0.86747,0.90427,0.9548
19.9,0.5,0.54324,0.64479,0.64284,0.7028,0.76156,0.86703,0.90398,0.95486
20,0.5,0.54301,0.6445,0.64271,0.70296,0.76148,0.86658,0.90368,0.95492
20.1,0.5,0.54278,0.64419,0.64259,0.70313,0.7614,0.86609,0.90338,0.95497
20.2,0.5,0.54255,0.64386,0.64248,0.70331,0.76134,0.86558,0.90307,0.95502
20.3,0.5,0.54233,0.6435,0.64238,0.70349,0.76128,0.86505,0.90275,0.95507
20.4,0.5,0.5421,0.64313,0.64228,0.70369,0.76122,0.86449,0.90243,0.95512
20.5,0.5,0.54187,0.64273,0.6422,0.70389,0.76117,0.86391,0.9021,0.95516
20.6,0.5,0.54164,0.6423,0.64212,0.70409,0.76113,0.86331,0.90176,0.9552
20.7,0.5,0.54142,0.64186,0.64205,0.70431,0.7611,0.86267,0.90141,0.95524
20.8,0.5,0.54119,0.64138,0.64198,0.70453,0.76107,0.86202,0.90106,0.95528
20.9,0.5,0.54096,0.64088,0.64193,0.70475,0.76104,0.86134,0.90071,0.95531
21,0.5,0.54074,0.64035,0.64187,0.70498,0.76102,0.86064,0.90035,0.95534
21.1,0.5,0.54051,0.63979,0.64183,0.70522,0.761,0.85992,0.89998,0.95537
21.2,0.5,0.54028,0.63921,0.64179,0.70546,0.76099,0.85917,0.8996,0.9554
21.3,0.5,0.54006,0.6386,0.64175,0.70571,0.76098,0.85841,0.89922,0.95542
21.4,0.5,0.53984,0.63795,0.64172,0.70597,0.76098,0.85763,0.89884,0.95544
21.5,0.5,0.53961,0.63728,0.64169,0.70622,0.76098,0.85683,0.89845,0.95546
21.6,0.5,0.53939,0.63658,0.64167,0.70649,0.76098,0.85601,0.89806,0.95547
21.7,0.5,0.53918,0.63586,0.64165,0.70675,0.76099,0.85517,0.89766,0.95548
21.8,0.5,0.53896,0.6351,0.64163,0.70703,0.761,0.85433,0.89726,0.95549
21.9,0.5,0.53875,0.63431,0.64161,0.7073,0.76101,0.85347,0.89685,0.9555
22,0.5,0.53855,0.6335,0.6416,0.70759,0.76103,0.8526,0.89644,0.9555
22.1,0.5,0.53834,0.63266,0.64159,0.70787,0.76105,0.85172,0.89603,0.9555
22.2,0.5,0.53815,0.6318,0.64159,0.70817,0.76107,0.85083,0.89562,0.9555
22.3,0.5,0.53796,0.63091,0.64158,0.70847,0.76109,0.84993,0.89521,0.95549
22.4,0.5,0.53777,0.62999,0.64158,0.70877,0.76112,0.84903,0.89479,0.95548
22.5,0.5,0.53759,0.62906,0.64158,0.70908,0.76115,0.84813,0.89437,0.95547
22.6,0.5,0.53742,0.6281,0.64159,0.7094,0.76118,0.84723,0.89396,0.95545
22.7,0.5,0.53726,0.62712,0.64159,0.70972,0.76122,0.84632,0.89354,0.95543
22.8,0.5,0.5371,0.62613,0.6416,0.71006,0.76126,0.84542,0.89312,0.95541
22.9,0.5,0.53696,0.62512,0.64161,0.7104,0.76131,0.84451,0.89271,0.95539
23,0.5,0.53682,0.62409,0.64163,0.71075,0.76135,0.84362,0.89229,0.95536
23.1,0.5,0.53669,0.62306,0.64164,0.71111,0.76141,0.84272,0.89188,0.95533
23.2,0.5,0.53657,0.62201,0.64166,0.71148,0.76146,0.84184,0.89147,0.9553
23.3,0.5,0.53646,0.62095,0.64169,0.71185,0.76152,0.84096,0.89106,0.95526
23.4,0.5,0.53636,0.61989,0.64171,0.71225,0.76159,0.84009,0.89065,0.95522
23.5,0.5,0.53627,0.61882,0.64174,0.71265,0.76166,0.83923,0.89024,0.95517
23.6,0.5,0.53619,0.61775,0.64178,0.71306,0.76173,0.83838,0.88984,0.95513
23.7,0.5,0.53613,0.61667,0.64182,0.71349,0.76181,0.83754,0.88944,0.95508
23.8,0.5,0.53607,0.6156,0.64186,0.71393,0.7619,0.83671,0.88905,0.95502
23.9,0.5,0.53603,0.61454,0.64191,0.71438,0.76199,0.8359,0.88866,0.95497
24,0.5,0.53599,0.61348,0.64196,0.71485,0.76208,0.8351,0.88827,0.95491
24.1,0.5,0.53597,0.61242,0.64202,0.71533,0.76219,0.83432,0.88789,0.95484
24.2,0.5,0.53596,0.61138,0.64208,0.71582,0.7623,0.83355,0.88751,0.95478
24.3,0.5,0.53596,0.61034,0.64215,0.71633,0.76242,0.83279,0.88714,0.95471
24.4,0.5,0.53598,0.60932,0.64223,0.71685,0.76254,0.83205,0.88677,0.95464
24.5,0.5,0.536,0.60832,0.64232,0.71739,0.76268,0.83133,0.88641,0.95456
24.6,0.5,0.53604,0.60732,0.64241,0.71795,0.76282,0.83062,0.88605,0.95448
24.7,0.5,0.53609,0.60635,0.64251,0.71851,0.76297,0.82993,0.8857,0.9544
24.8,0.5,0.53615,0.60539,0.64262,0.7191,0.76312,0.82926,0.88536,0.95431
24.9,0.5,0.53622,0.60446,0.64274,0.71969,0.76329,0.8286,0.88502,0.95422
25,0.5,0.53631,0.60354,0.64287,0.7203,0.76347,0.82796,0.88468,0.95413
25.1,0.5,0.5364,0.60265,0.64301,0.72093,0.76366,0.82734,0.88436,0.95403
25.2,0.5,0.53651,0.60178,0.64316,0.72157,0.76385,0.82673,0.88403,0.95394
25.3,0.5,0.53664,0.60093,0.64333,0.72222,0.76406,0.82614,0.88372,0.95383
25.4,0.5,0.53677,0.6001,0.6435,0.72288,0.76428,0.82556,0.88341,0.95373
25.5,0.5,0.53692,0.5993,0.64369,0.72355,0.7645,0.82501,0.88311,0.95362
25.6,0.5,0.53708,0.59853,0.6439,0.72424,0.76474,0.82447,0.88282,0.95351
25.7,0.5,0.53725,0.59778,0.64412,0.72493,0.76499,0.82394,0.88253,0.9534
25.8,0.5,0.53744,0.59706,0.64436,0.72564,0.76526,0.82344,0.88224,0.95328
25.9,0.5,0.53763,0.59637,0.64461,0.72635,0.76553,0.82294,0.88197,0.95316
26,0.5,0.53785,0.5957,0.64488,0.72707,0.76582,0.82247,0.8817,0.95304
26.1,0.5,0.53807,0.59505,0.64517,0.7278,0.76612,0.82201,0.88144,0.95291
26.2,0.5,0.53831,0.59444,0.64548,0.72853,0.76643,0.82156,0.88118,0.95279
26.3,0.5,0.53856,0.59384,0.64581,0.72926,0.76676,0.82113,0.88094,0.95266
26.4,0.5,0.53883,0.59328,0.64616,0.73,0.7671,0.82071,0.8807,0.95252
26.5,0.5,0.53911,0.59274,0.64654,0.73075,0.76745,0.82031,0.88046,0.95239
26.6,0.5,0.53941,0.59223,0.64694,0.73149,0.76781,0.81992,0.88023,0.95225
26.7,0.5,0.53972,0.59174,0.64736,0.73224,0.76819,0.81955,0.88001,0.95211
26.8,0.5,0.54005,0.59127,0.64781,0.73298,0.76858,0.81919,0.8798,0.95196
26.9,0.5,0.54039,0.59083,0.64828,0.73372,0.76899,0.81884,0.87959,0.95182
27,0.5,0.54075,0.59041,0.64879,0.73446,0.76941,0.81851,0.87939,0.95167
27.1,0.5,0.54113,0.59002,0.64932,0.7352,0.76984,0.81819,0.8792,0.95152
27.2,0.5,0.54153,0.58964,0.64988,0.73593,0.77029,0.81788,0.87901,0.95137
27.3,0.5,0.54194,0.58929,0.65047,0.73666,0.77075,0.81758,0.87884,0.95122
27.4,0.5,0.54237,0.58896,0.65109,0.73738,0.77123,0.81729,0.87866,0.95106
27.5,0.5,0.54282,0.58865,0.65174,0.73809,0.77171,0.81702,0.8785,0.9509
27.6,0.5,0.54329,0.58836,0.65242,0.7388,0.77221,0.81676,0.87834,0.95074
27.7,0.5,0.54378,0.58809,0.65313,0.7395,0.77273,0.8165,0.87819,0.95058
27.8,0.5,0.54429,0.58784,0.65388,0.74019,0.77325,0.81626,0.87804,0.95042
27.9,0.5,0.54482,0.5876,0.65466,0.74087,0.77379,0.81603,0.8779,0.95025
28,0.5,0.54536,0.58738,0.65546,0.74154,0.77434,0.81581,0.87777,0.95009
28.1,0.5,0.54593,0.58718,0.6563,0.74219,0.7749,0.8156,0.87765,0.94992
28.2,0.5,0.54653,0.58699,0.65717,0.74284,0.77548,0.8154,0.87753,0.94975
28.3,0.5,0.54714,0.58681,0.65807,0.74347,0.77606,0.81521,0.87742,0.94958
28.4,0.5,0.54777,0.58665,0.65899,0.7441,0.77666,0.81502,0.87732,0.94941
28.5,0.5,0.54842,0.58651,0.65995,0.7447,0.77726,0.81485,0.87722,0.94924
28.6,0.5,0.54909,0.58637,0.66093,0.7453,0.77787,0.81468,0.87713,0.94906
28.7,0.5,0.54979,0.58625,0.66193,0.74588,0.77849,0.81452,0.87704,0.94889
28.8,0.5,0.5505,0.58614,0.66295,0.74645,0.77912,0.81438,0.87696,0.94871
28.9,0.5,0.55123,0.58604,0.664,0.747,0.77976,0.81424,0.87689,0.94854
29,0.5,0.55198,0.58595,0.66506,0.74754,0.7804,0.8141,0.87683,0.94836
29.1,0.5,0.55275,0.58587,0.66614,0.74806,0.78105,0.81398,0.87677,0.94819
29.2,0.5,0.55353,0.5858,0.66723,0.74857,0.7817,0.81386,0.87672,0.94801
