t(s),P=100mmHg,P=110mmHg,P=120mmHg,P=130mmHg,P=140mmHg,P =150mmHg,P = 160mmHg,P =170mmHg,P=180mmHg
4,32.326,37.289,28.101,45.695,35.541,38.371,39.68,39.696,38.089
4.1,32.326,37.297,28.184,45.512,35.394,38.259,39.947,39.717,38.249
4.2,32.326,37.302,28.271,45.323,35.245,38.144,40.208,39.735,38.407
4.3,32.326,37.302,28.36,45.13,35.096,38.027,40.466,39.749,38.563
4.4,32.326,37.3,28.453,44.931,34.945,37.907,40.718,39.76,38.719
4.5,32.326,37.295,28.55,44.727,34.793,37.785,40.966,39.769,38.873
4.6,32.326,37.287,28.651,44.519,34.641,37.66,41.209,39.774,39.025
4.7,32.326,37.276,28.756,44.307,34.487,37.533,41.447,39.776,39.176
4.8,32.326,37.263,28.865,44.092,34.334,37.405,41.679,39.775,39.325
4.9,32.326,37.248,28.979,43.873,34.179,37.274,41.907,39.772,39.473
5,32.326,37.23,29.097,43.651,34.025,37.142,42.128,39.765,39.619
5.1,32.326,37.21,29.22,43.426,33.87,37.008,42.345,39.756,39.764
5.2,32.326,37.187,29.349,43.199,33.715,36.872,42.555,39.745,39.907
5.3,32.326,37.162,29.482,42.97,33.56,36.736,42.759,39.731,40.049
5.4,32.326,37.135,29.62,42.739,33.405,36.598,42.958,39.714,40.189
5.5,32.326,37.105,29.764,42.506,33.25,36.458,43.15,39.695,40.327
5.6,32.326,37.073,29.913,42.272,33.096,36.318,43.336,39.673,40.464
5.7,32.326,37.039,30.067,42.037,32.942,36.177,43.515,39.649,40.599
5.8,32.326,37.003,30.227,41.8,32.788,36.034,43.688,39.623,40.732
5.9,32.326,36.964,30.393,41.563,32.635,35.892,43.854,39.595,40.864
6,32.326,36.923,30.563,41.325,32.482,35.748,44.014,39.565,40.993
6.1,32.326,36.879,30.739,41.087,32.33,35.604,44.166,39.532,41.121
6.2,32.326,36.833,30.921,40.848,32.179,35.459,44.312,39.497,41.247
6.3,32.326,36.785,31.108,40.609,32.028,35.314,44.45,39.461,41.371
6.4,32.326,36.734,31.3,40.37,31.879,35.168,44.581,39.423,41.493
6.5,32.326,36.681,31.498,40.131,31.73,35.022,44.705,39.382,41.614
6.6,32.326,36.626,31.7,39.893,31.582,34.876,44.822,39.34,41.732
6.7,32.326,36.568,31.908,39.655,31.435,34.73,44.931,39.296,41.849
6.8,32.326,36.508,32.12,39.417,31.289,34.584,45.033,39.251,41.963
6.9,32.326,36.446,32.337,39.18,31.144,34.438,45.128,39.204,42.076
7,32.326,36.381,32.559,38.943,31,34.291,45.215,39.155,42.187
7.1,32.326,36.314,32.785,38.708,30.857,34.145,45.295,39.105,42.295
7.2,32.326,36.246,33.015,38.473,30.716,33.999,45.368,39.053,42.402
7.3,32.326,36.175,33.25,38.239,30.576,33.854,45.434,39,42.506
7.4,32.326,36.102,33.488,38.006,30.437,33.708,45.492,38.945,42.609
7.5,32.326,36.028,33.73,37.775,30.3,33.563,45.543,38.89,42.709
7.6,32.326,35.951,33.975,37.544,30.164,33.419,45.587,38.833,42.808
7.7,32.326,35.873,34.224,37.315,30.029,33.275,45.625,38.774,42.904
7.8,32.326,35.793,34.475,37.087,29.896,33.131,45.655,38.715,42.999
7.9,32.326,35.712,34.73,36.86,29.764,32.988,45.678,38.654,43.091
8,32.326,35.629,34.987,36.635,29.634,32.846,45.695,38.593,43.181
8.1,32.326,35.545,35.247,36.411,29.506,32.704,45.705,38.53,43.269
8.2,32.326,35.46,35.508,36.189,29.379,32.563,45.708,38.466,43.355
8.3,32.326,35.373,35.772,35.968,29.253,32.423,45.706,38.402,43.439
8.4,32.326,35.285,36.037,35.749,29.13,32.283,45.696,38.336,43.521
8.5,32.326,35.197,36.304,35.531,29.008,32.144,45.681,38.27,43.601
8.6,32.326,35.107,36.572,35.315,28.888,32.007,45.66,38.203,43.679
8.7,32.326,35.016,36.841,35.1,28.77,31.87,45.633,38.135,43.755
8.8,32.326,34.925,37.11,34.888,28.654,31.734,45.6,38.067,43.828
8.9,32.326,34.833,37.381,34.677,28.539,31.599,45.562,37.997,43.9
9,32.326,34.741,37.651,34.467,28.427,31.465,45.518,37.928,43.969
9.1,32.326,34.648,37.921,34.26,28.316,31.332,45.469,37.857,44.037
9.2,32.326,34.554,38.191,34.054,28.207,31.201,45.414,37.786,44.102
9.3,32.326,34.46,38.461,33.85,28.101,31.07,45.355,37.715,44.166
9.4,32.326,34.366,38.729,33.648,27.997,30.941,45.29,37.643,44.227
9.5,32.326,34.272,38.996,33.448,27.894,30.813,45.221,37.571,44.287
9.6,32.326,34.178,39.262,33.249,27.794,30.686,45.148,37.498,44.344
9.7,32.326,34.083,39.526,33.052,27.696,30.561,45.07,37.425,44.4
9.8,32.326,33.989,39.788,32.857,27.6,30.437,44.987,37.352,44.453
9.9,32.326,33.895,40.048,32.665,27.507,30.314,44.901,37.278,44.505
10,32.326,33.8,40.304,32.473,27.416,30.193,44.81,37.205,44.554
10.1,32.326,33.706,40.558,32.284,27.327,30.073,44.716,37.131,44.602
10.2,32.326,33.613,40.808,32.097,27.24,29.954,44.617,37.057,44.647
10.3,32.326,33.519,41.054,31.912,27.156,29.838,44.515,36.982,44.691
10.4,32.326,33.426,41.296,31.728,27.075,29.722,44.41,36.908,44.733
10.5,32.326,33.334,41.533,31.547,26.996,29.609,44.301,36.834,44.773
10.6,32.326,33.242,41.765,31.367,26.919,29.497,44.189,36.759,44.811
10.7,32.326,33.15,41.991,31.19,26.845,29.386,44.074,36.685,44.846
10.8,32.326,33.059,42.212,31.015,26.773,29.278,43.955,36.611,44.88
10.9,32.326,32.968,42.426,30.841,26.705,29.171,43.834,36.536,44.912
11,32.326,32.879,42.632,30.67,26.638,29.066,43.71,36.462,44.942
11.1,32.326,32.789,42.832,30.5,26.575,28.962,43.583,36.388,44.97
11.2,32.326,32.701,43.023,30.333,26.514,28.861,43.453,36.314,44.996
11.3,32.326,32.613,43.206,30.168,26.456,28.761,43.321,36.241,45.019
11.4,32.326,32.526,43.38,30.005,26.401,28.664,43.187,36.167,45.04
11.5,32.326,32.44,43.545,29.844,26.349,28.568,43.05,36.094,45.059
11.6,32.326,32.355,43.699,29.685,26.299,28.474,42.911,36.021,45.075
11.7,32.326,32.271,43.843,29.528,26.253,28.383,42.769,35.949,45.088
11.8,32.326,32.188,43.976,29.373,26.209,28.293,42.625,35.876,45.099
11.9,32.326,32.105,44.098,29.221,26.168,28.206,42.479,35.804,45.107
12,32.326,32.024,44.208,29.071,26.131,28.12,42.331,35.733,45.112
12.1,32.326,31.943,44.305,28.923,26.096,28.037,42.18,35.661,45.113
12.2,32.326,31.864,44.39,28.777,26.065,27.956,42.028,35.59,45.111
12.3,32.326,31.786,44.462,28.634,26.036,27.877,41.873,35.519,45.105
12.4,32.326,31.708,44.521,28.493,26.011,27.801,41.717,35.449,45.095
12.5,32.326,31.632,44.566,28.355,25.989,27.727,41.558,35.379,45.082
12.6,32.326,31.557,44.597,28.219,25.97,27.655,41.397,35.309,45.064
12.7,32.326,31.483,44.615,28.085,25.955,27.586,41.234,35.24,45.041
12.8,32.326,31.41,44.619,27.954,25.943,27.519,41.069,35.17,45.014
12.9,32.326,31.338,44.609,27.825,25.934,27.454,40.902,35.101,44.983
13,32.326,31.268,44.586,27.699,25.929,27.392,40.732,35.032,44.946
13.1,32.326,31.198,44.548,27.575,25.927,27.333,40.561,34.963,44.905
13.2,32.326,31.13,44.498,27.454,25.928,27.275,40.387,34.894,44.858
13.3,32.326,31.062,44.434,27.335,25.933,27.221,40.211,34.826,44.806
13.4,32.326,30.996,44.358,27.219,25.942,27.169,40.034,34.757,44.749
13.5,32.326,30.931,44.268,27.106,25.954,27.12,39.854,34.687,44.687
13.6,32.326,30.867,44.167,26.996,25.969,27.073,39.671,34.618,44.62
13.7,32.326,30.803,44.054,26.888,25.989,27.03,39.487,34.548,44.547
13.8,32.326,30.741,43.93,26.783,26.012,26.988,39.301,34.478,44.47
13.9,32.326,30.679,43.796,26.681,26.038,26.95,39.113,34.407,44.387
14,32.326,30.618,43.651,26.582,26.069,26.914,38.922,34.336,44.3
14.1,32.326,30.558,43.496,26.486,26.102,26.881,38.73,34.263,44.208
14.2,32.326,30.499,43.332,26.393,26.14,26.85,38.536,34.19,44.112
14.3,32.326,30.439,43.16,26.302,26.181,26.823,38.34,34.116,44.012
14.4,32.326,30.381,42.98,26.215,26.226,26.798,38.142,34.041,43.907
14.5,32.326,30.322,42.792,26.13,26.274,26.775,37.943,33.965,43.799
14.6,32.326,30.264,42.598,26.049,26.325,26.755,37.742,33.888,43.687
14.7,32.326,30.206,42.397,25.97,26.38,26.738,37.54,33.809,43.572
14.8,32.326,30.148,42.19,25.894,26.439,26.723,37.336,33.729,43.453
14.9,32.326,30.089,41.978,25.822,26.5,26.711,37.131,33.648,43.332
15,32.326,30.031,41.762,25.752,26.564,26.701,36.925,33.565,43.209
15.1,32.326,29.972,41.541,25.686,26.631,26.693,36.718,33.481,43.083
15.2,32.326,29.912,41.316,25.622,26.701,26.688,36.511,33.395,42.955
15.3,32.326,29.852,41.088,25.561,26.773,26.685,36.303,33.308,42.826
15.4,32.326,29.791,40.858,25.503,26.847,26.683,36.094,33.219,42.695
15.5,32.326,29.73,40.624,25.448,26.924,26.684,35.885,33.13,42.563
15.6,32.326,29.668,40.389,25.395,27.002,26.686,35.676,33.038,42.429
15.7,32.326,29.605,40.152,25.346,27.081,26.69,35.467,32.946,42.295
15.8,32.326,29.541,39.913,25.299,27.162,26.695,35.257,32.852,42.16
15.9,32.326,29.477,39.674,25.254,27.244,26.701,35.049,32.757,42.025
16,32.326,29.411,39.433,25.212,27.326,26.709,34.84,32.66,41.889
16.1,32.326,29.345,39.193,25.172,27.409,26.718,34.632,32.563,41.753
16.2,32.326,29.278,38.952,25.135,27.492,26.727,34.425,32.465,41.617
16.3,32.326,29.21,38.711,25.1,27.576,26.738,34.218,32.367,41.481
16.4,32.326,29.142,38.47,25.066,27.659,26.749,34.013,32.267,41.345
16.5,32.326,29.073,38.23,25.035,27.742,26.76,33.808,32.167,41.21
16.6,32.326,29.004,37.991,25.006,27.825,26.772,33.605,32.067,41.075
16.7,32.326,28.934,37.753,24.978,27.907,26.784,33.403,31.966,40.94
16.8,32.326,28.865,37.515,24.952,27.988,26.797,33.202,31.865,40.807
16.9,32.326,28.795,37.279,24.928,28.07,26.809,33.003,31.765,40.673
17,32.326,28.726,37.044,24.905,28.15,26.822,32.806,31.664,40.541
17.1,32.326,28.657,36.811,24.884,28.23,26.835,32.61,31.563,40.409
17.2,32.326,28.589,36.579,24.864,28.31,26.849,32.415,31.463,40.278
17.3,32.326,28.522,36.349,24.846,28.39,26.862,32.223,31.364,40.148
17.4,32.326,28.456,36.12,24.828,28.469,26.876,32.033,31.265,40.019
17.5,32.326,28.391,35.894,24.813,28.549,26.89,31.844,31.166,39.891
17.6,32.326,28.328,35.669,24.798,28.629,26.904,31.657,31.069,39.764
17.7,32.326,28.266,35.446,24.785,28.709,26.92,31.473,30.972,39.638
17.8,32.326,28.206,35.225,24.774,28.79,26.935,31.29,30.877,39.513
17.9,32.326,28.149,35.007,24.764,28.872,26.952,31.11,30.782,39.389
18,32.326,28.093,34.79,24.756,28.954,26.969,30.932,30.689,39.266
18.1,32.326,28.04,34.576,24.749,29.039,26.987,30.756,30.596,39.144
18.2,32.326,27.99,34.363,24.745,29.124,27.007,30.583,30.506,39.023
18.3,32.326,27.942,34.153,24.742,29.212,27.027,30.411,30.416,38.903
18.4,32.326,27.897,33.945,24.742,29.301,27.049,30.242,30.328,38.784
18.5,32.326,27.855,33.74,24.744,29.392,27.073,30.075,30.242,38.666
18.6,32.326,27.817,33.536,24.748,29.486,27.098,29.911,30.156,38.55
18.7,32.326,27.781,33.335,24.755,29.582,27.125,29.749,30.073,38.434
18.8,32.326,27.749,33.136,24.765,29.681,27.155,29.589,29.991,38.32
18.9,32.326,27.721,32.939,24.777,29.782,27.186,29.431,29.911,38.207
19,32.326,27.696,32.745,24.793,29.887,27.219,29.276,29.832,38.094
19.1,32.326,27.674,32.553,24.813,29.994,27.255,29.124,29.755,37.983
19.2,32.326,27.657,32.363,24.835,30.104,27.293,28.973,29.68,37.873
19.3,32.326,27.642,32.175,24.862,30.218,27.334,28.826,29.607,37.764
19.4,32.326,27.632,31.99,24.892,30.334,27.377,28.68,29.535,37.656
19.5,32.326,27.625,31.806,24.926,30.453,27.423,28.537,29.465,37.55
19.6,32.326,27.622,31.625,24.965,30.576,27.471,28.397,29.397,37.444
19.7,32.326,27.623,31.447,25.007,30.702,27.522,28.258,29.331,37.34
19.8,32.326,27.627,31.27,25.055,30.83,27.577,28.123,29.267,37.236
19.9,32.326,27.635,31.096,25.106,30.962,27.634,27.989,29.204,37.134
20,32.326,27.647,30.924,25.162,31.097,27.693,27.858,29.143,37.033
20.1,32.326,27.663,30.754,25.223,31.235,27.756,27.73,29.085,36.932
20.2,32.326,27.682,30.586,25.289,31.375,27.822,27.604,29.028,36.833
20.3,32.326,27.705,30.421,25.36,31.518,27.891,27.481,28.972,36.735
20.4,32.326,27.732,30.257,25.436,31.664,27.962,27.36,28.919,36.638
20.5,32.326,27.762,30.096,25.517,31.812,28.037,27.241,28.868,36.542
20.6,32.326,27.796,29.938,25.603,31.963,28.114,27.125,28.818,36.448
20.7,32.326,27.833,29.781,25.694,32.116,28.195,27.012,28.77,36.354
20.8,32.326,27.874,29.627,25.791,32.271,28.278,26.901,28.724,36.261
20.9,32.326,27.918,29.475,25.893,32.428,28.365,26.792,28.68,36.17
21,32.326,27.966,29.325,26,32.586,28.454,26.686,28.638,36.079
21.1,32.326,28.017,29.177,26.112,32.747,28.546,26.583,28.598,35.99
21.2,32.326,28.072,29.032,26.23,32.909,28.641,26.482,28.56,35.901
21.3,32.326,28.131,28.889,26.353,33.072,28.738,26.384,28.523,35.814
21.4,32.326,28.192,28.748,26.481,33.237,28.839,26.288,28.489,35.728
21.5,32.326,28.257,28.61,26.615,33.402,28.942,26.195,28.456,35.642
21.6,32.326,28.326,28.474,26.754,33.569,29.048,26.104,28.426,35.558
21.7,32.326,28.398,28.34,26.898,33.736,29.156,26.017,28.397,35.475
21.8,32.326,28.474,28.209,27.047,33.904,29.267,25.931,28.37,35.393
21.9,32.326,28.553,28.08,27.201,34.072,29.381,25.849,28.345,35.312
22,32.326,28.636,27.954,27.36,34.24,29.497,25.769,28.322,35.233
22.1,32.326,28.722,27.83,27.525,34.408,29.615,25.692,28.3,35.154
22.2,32.326,28.812,27.709,27.694,34.576,29.736,25.617,28.281,35.076
22.3,32.326,28.905,27.59,27.868,34.743,29.859,25.545,28.263,34.999
22.4,32.326,29.002,27.473,28.047,34.91,29.985,25.476,28.248,34.924
22.5,32.326,29.102,27.36,28.231,35.077,30.112,25.41,28.234,34.849
22.6,32.326,29.206,27.249,28.419,35.242,30.242,25.346,28.223,34.775
22.7,32.326,29.314,27.14,28.612,35.406,30.374,25.285,28.213,34.703
22.8,32.326,29.425,27.035,28.809,35.569,30.508,25.227,28.205,34.632
22.9,32.326,29.541,26.932,29.01,35.73,30.644,25.172,28.199,34.561
23,32.326,29.659,26.831,29.216,35.89,30.782,25.119,28.195,34.492
23.1,32.326,29.782,26.734,29.426,36.048,30.921,25.069,28.192,34.424
23.2,32.326,29.908,26.639,29.639,36.204,31.063,25.022,28.192,34.356
23.3,32.326,30.038,26.547,29.857,36.357,31.206,24.978,28.194,34.29
23.4,32.326,30.172,26.458,30.078,36.509,31.35,24.936,28.197,34.225
23.5,32.326,30.309,26.371,30.303,36.657,31.496,24.898,28.203,34.161
23.6,32.326,30.45,26.288,30.532,36.803,31.644,24.862,28.21,34.098
23.7,32.326,30.594,26.207,30.764,36.946,31.793,24.829,28.219,34.036
23.8,32.326,30.742,26.13,30.999,37.085,31.943,24.799,28.23,33.975
23.9,32.326,30.893,26.055,31.238,37.222,32.094,24.771,28.243,33.915
24,32.326,31.048,25.983,31.479,37.355,32.246,24.747,28.257,33.856
24.1,32.326,31.206,25.914,31.723,37.484,32.399,24.725,28.274,33.798
24.2,32.326,31.368,25.849,31.971,37.609,32.553,24.706,28.292,33.741
24.3,32.326,31.532,25.786,32.22,37.73,32.707,24.69,28.312,33.685
24.4,32.326,31.7,25.726,32.473,37.848,32.862,24.677,28.334,33.631
24.5,32.326,31.87,25.669,32.727,37.96,33.018,24.667,28.358,33.577
24.6,32.326,32.044,25.615,32.984,38.069,33.174,24.66,28.384,33.524
24.7,32.326,32.22,25.564,33.243,38.173,33.33,24.655,28.411,33.472
24.8,32.326,32.399,25.516,33.504,38.272,33.486,24.653,28.44,33.422
24.9,32.326,32.58,25.471,33.766,38.366,33.642,24.654,28.471,33.372
25,32.326,32.763,25.429,34.03,38.455,33.798,24.658,28.504,33.323
25.1,32.326,32.948,25.39,34.295,38.539,33.954,24.665,28.539,33.276
25.2,32.326,33.136,25.354,34.562,38.618,34.109,24.674,28.575,33.229
25.3,32.326,33.325,25.321,34.829,38.692,34.263,24.687,28.613,33.184
25.4,32.326,33.515,25.291,35.097,38.76,34.417,24.702,28.652,33.139
25.5,32.326,33.707,25.264,35.366,38.823,34.57,24.72,28.694,33.095
25.6,32.326,33.901,25.24,35.635,38.881,34.722,24.741,28.737,33.053
25.7,32.326,34.095,25.218,35.903,38.932,34.873,24.765,28.781,33.011
25.8,32.326,34.29,25.2,36.172,38.979,35.022,24.791,28.827,32.971
25.9,32.326,34.485,25.185,36.44,39.019,35.169,24.82,28.875,32.931
26,32.326,34.681,25.172,36.707,39.054,35.316,24.852,28.925,32.893
26.1,32.326,34.877,25.162,36.973,39.084,35.46,24.887,28.976,32.855
26.2,32.326,35.073,25.156,37.238,39.107,35.602,24.925,29.029,32.819
26.3,32.326,35.269,25.152,37.501,39.125,35.742,24.965,29.083,32.783
26.4,32.326,35.464,25.15,37.762,39.138,35.88,25.008,29.138,32.749
26.5,32.326,35.659,25.152,38.021,39.145,36.015,25.054,29.196,32.715
26.6,32.326,35.852,25.157,38.277,39.146,36.148,25.103,29.254,32.683
26.7,32.326,36.044,25.164,38.53,39.142,36.278,25.154,29.315,32.651
26.8,32.326,36.235,25.174,38.779,39.132,36.405,25.208,29.376,32.621
26.9,32.326,36.425,25.187,39.025,39.116,36.529,25.265,29.439,32.591
27,32.326,36.612,25.203,39.267,39.096,36.65,25.325,29.504,32.563
27.1,32.326,36.797,25.222,39.504,39.07,36.768,25.387,29.57,32.535
27.2,32.326,36.98,25.243,39.737,39.039,36.882,25.452,29.637,32.509
27.3,32.326,37.161,25.268,39.964,39.003,36.993,25.519,29.705,32.483
27.4,32.326,37.338,25.295,40.186,38.961,37.1,25.589,29.775,32.458
27.5,32.326,37.513,25.325,40.401,38.915,37.203,25.662,29.846,32.435
27.6,32.326,37.684,25.358,40.611,38.864,37.303,25.738,29.919,32.412
27.7,32.326,37.852,25.394,40.814,38.808,37.398,25.816,29.992,32.39
27.8,32.326,38.016,25.432,41.01,38.748,37.489,25.896,30.067,32.37
27.9,32.326,38.176,25.474,41.199,38.683,37.576,25.979,30.143,32.35
28,32.326,38.332,25.519,41.38,38.614,37.659,26.065,30.22,32.331
28.1,32.326,38.484,25.566,41.554,38.54,37.737,26.153,30.299,32.313
28.2,32.326,38.631,25.617,41.719,38.463,37.811,26.244,30.378,32.297
28.3,32.326,38.774,25.671,41.876,38.381,37.881,26.338,30.458,32.281
28.4,32.326,38.911,25.728,42.024,38.296,37.946,26.433,30.54,32.266
28.5,32.326,39.044,25.789,42.164,38.206,38.006,26.532,30.622,32.252
28.6,32.326,39.171,25.853,42.294,38.113,38.062,26.632,30.706,32.239
28.7,32.326,39.292,25.92,42.416,38.017,38.113,26.735,30.79,32.227
28.8,32.326,39.408,25.99,42.528,37.917,38.16,26.841,30.876,32.215
28.9,32.326,39.518,26.064,42.631,37.814,38.202,26.949,30.962,32.205
29,32.326,39.622,26.142,42.724,37.708,38.239,27.059,31.049,32.196
29.1,32.326,39.72,26.224,42.807,37.599,38.271,27.172,31.137,32.188
29.2,32.326,39.811,26.309,42.881,37.487,38.299,27.287,31.225,32.18
29.3,32.326,39.897,26.398,42.945,37.372,38.322,27.404,31.315,32.174
29.4,32.326,39.975,26.491,42.999,37.255,38.34,27.523,31.405,32.168
29.5,32.326,40.047,26.587,43.044,37.136,38.354,27.645,31.496,32.163
29.6,32.326,40.113,26.688,43.079,37.014,38.363,27.769,31.587,32.16
29.7,32.326,40.172,26.794,43.105,36.889,38.367,27.895,31.679,32.157
29.8,32.326,40.224,26.903,43.121,36.763,38.367,28.023,31.772,32.155
29.9,32.326,40.269,27.017,43.127,36.635,38.362,28.154,31.865,32.154
30,32.326,40.307,27.135,43.125,36.505,38.353,28.286,31.958,32.154
30.1,32.326,40.338,27.258,43.113,36.373,38.339,28.421,32.052,32.155
30.2,32.326,40.362,27.385,43.092,36.239,38.322,28.558,32.147,32.156
30.3,32.326,40.38,27.517,43.063,36.104,38.299,28.696,32.241,32.159
30.4,32.326,40.39,27.653,43.024,35.967,38.273,28.837,32.337,32.162
30.5,32.326,40.394,27.795,42.978,35.83,38.242,28.98,32.432,32.166
30.6,32.326,40.391,27.941,42.923,35.691,38.208,29.124,32.528,32.171
30.7,32.326,40.381,28.092,42.861,35.551,38.169,29.271,32.623,32.177
30.8,32.326,40.365,28.248,42.79,35.409,38.126,29.419,32.719,32.184
30.9,32.326,40.342,28.409,42.712,35.267,38.08,29.569,32.816,32.192
31,32.326,40.313,28.574,42.627,35.125,38.03,29.721,32.912,32.201
31.1,32.326,40.277,28.745,42.535,34.981,37.976,29.874,33.008,32.21
31.2,32.326,40.235,28.92,42.436,34.837,37.919,30.03,33.104,32.22
31.3,32.326,40.187,29.101,42.331,34.692,37.858,30.187,33.2,32.231
31.4,32.326,40.132,29.286,42.219,34.547,37.794,30.345,33.296,32.243
31.5,32.326,40.073,29.477,42.101,34.401,37.726,30.505,33.392,32.256
31.6,32.326,40.007,29.672,41.978,34.255,37.655,30.667,33.488,32.269
31.7,32.326,39.936,29.872,41.849,34.109,37.582,30.83,33.583,32.284
31.8,32.326,39.859,30.077,41.715,33.963,37.505,30.995,33.679,32.299
31.9,32.326,39.778,30.286,41.576,33.817,37.425,31.161,33.773,32.314
32,32.326,39.691,30.501,41.433,33.67,37.343,31.328,33.868,32.331
32.1,32.326,39.599,30.719,41.285,33.524,37.257,31.496,33.962,32.349
32.2,32.326,39.503,30.942,41.132,33.378,37.17,31.666,34.056,32.367
32.3,32.326,39.403,31.17,40.976,33.232,37.079,31.837,34.149,32.386
32.4,32.326,39.298,31.402,40.816,33.086,36.987,32.009,34.241,32.405
32.5,32.326,39.188,31.638,40.652,32.941,36.892,32.181,34.333,32.426
32.6,32.326,39.075,31.878,40.485,32.796,36.794,32.355,34.424,32.447
32.7,32.326,38.959,32.122,40.315,32.652,36.695,32.53,34.515,32.469
32.8,32.326,38.838,32.369,40.143,32.507,36.594,32.705,34.604,32.491
32.9,32.326,38.714,32.621,39.967,32.364,36.49,32.881,34.693,32.515
33,32.326,38.587,32.875,39.789,32.221,36.385,33.058,34.782,32.539
33.1,32.326,38.457,33.133,39.609,32.079,36.278,33.235,34.869,32.563
33.2,32.326,38.325,33.394,39.427,31.937,36.169,33.412,34.955,32.589
33.3,32.326,38.189,33.658,39.243,31.797,36.059,33.59,35.04,32.615
33.4,32.326,38.051,33.925,39.057,31.657,35.948,33.768,35.125,32.642
33.5,32.326,37.91,34.194,38.869,31.518,35.834,33.946,35.208,32.669
33.6,32.326,37.767,34.466,38.681,31.379,35.72,34.124,35.29,32.697
33.7,32.326,37.623,34.739,38.49,31.242,35.604,34.302,35.371,32.726
33.8,32.326,37.476,35.015,38.299,31.106,35.488,34.48,35.451,32.755
33.9,32.326,37.327,35.292,38.107,30.971,35.37,34.657,35.529,32.785
34,32.326,37.177,35.57,37.914,30.837,35.251,34.833,35.606,32.816
34.1,32.326,37.026,35.85,37.721,30.704,35.131,35.009,35.682,32.847
34.2,32.326,36.873,36.13,37.527,30.572,35.01,35.184,35.757,32.879
34.3,32.326,36.719,36.411,37.332,30.441,34.889,35.358,35.83,32.911
34.4,32.326,36.563,36.693,37.138,30.312,34.767,35.531,35.901,32.944
34.5,32.326,36.407,36.974,36.943,30.183,34.644,35.703,35.971,32.977
34.6,32.326,36.25,37.255,36.748,30.057,34.52,35.874,36.039,33.011
34.7,32.326,36.092,37.535,36.553,29.931,34.396,36.042,36.106,33.046
34.8,32.326,35.934,37.814,36.358,29.807,34.272,36.209,36.171,33.081
